Latitude,Longitude,Date,Temperature
12.400002,107.100006,2024-05-24,26.4
12.400002,107.100006,2024-05-25,25.9
12.400002,107.100006,2024-05-26,25.1
12.400002,107.100006,2024-05-27,26.0
12.400002,107.100006,2024-05-28,25.4
12.400002,107.100006,2024-05-29,25.1
12.400002,107.100006,2024-05-30,24.4
12.5,106.899994,2024-05-19,28.3
12.5,106.899994,2024-05-20,27.4
12.5,106.899994,2024-05-21,26.3
12.5,106.899994,2024-05-22,27.8
12.5,106.899994,2024-05-23,27.6
12.5,106.899994,2024-05-24,28.9
12.5,106.899994,2024-05-25,28.3
12.5,106.899994,2024-05-26,27.1
12.5,106.899994,2024-05-27,28.2
12.5,106.899994,2024-05-28,27.4
12.5,106.899994,2024-05-29,26.9
12.5,106.899994,2024-05-30,26.2
12.599998,107.0,2024-05-19,28.6
12.599998,107.0,2024-05-20,27.6
12.599998,107.0,2024-05-21,26.4
12.599998,107.0,2024-05-22,27.8
12.599998,107.0,2024-05-23,27.5
12.599998,107.0,2024-05-24,28.7
12.599998,107.0,2024-05-25,28.4
12.599998,107.0,2024-05-26,27.1
12.599998,107.0,2024-05-27,28.3
12.599998,107.0,2024-05-28,27.6
12.599998,107.0,2024-05-29,26.9
12.599998,107.0,2024-05-30,26.2
12.300003,106.899994,2024-05-19,28.1
12.300003,106.899994,2024-05-20,27.3
12.300003,106.899994,2024-05-21,26.1
12.300003,106.899994,2024-05-22,27.8
12.300003,106.899994,2024-05-23,27.3
12.300003,106.899994,2024-05-24,28.8
12.300003,106.899994,2024-05-25,28.2
12.300003,106.899994,2024-05-26,27.3
12.300003,106.899994,2024-05-27,28.1
12.300003,106.899994,2024-05-28,27.2
12.300003,106.899994,2024-05-29,26.9
12.300003,106.899994,2024-05-30,26.1
